time,in_temp,in_hum,out_temp,out_hum,AH_in,AH_out,dT,dRH,dAH
2026-03-10 02:18:14,13.04,53.84,13.64,53.68,6.118482750773163,6.3304944436199255,-0.6000000000000014,0.1600000000000037,-0.21201169284676258
2026-03-10 02:19:22,13.04,53.82,13.61,53.82,6.116209911712697,6.33528760043745,-0.5700000000000003,0.0,-0.2190776887247532
2026-03-10 02:20:22,13.04,53.82,13.62,53.79,6.116209911712697,6.335657648390898,-0.5800000000000001,0.030000000000001137,-0.21944773667820083
2026-03-10 02:21:30,13.02,53.8,13.58,53.8,6.106374186317864,6.3212394410916515,-0.5600000000000005,0.0,-0.21486525477378748
2026-03-10 02:22:30,13.04,53.84,13.61,53.75,6.118482750773163,6.327047724331343,-0.5700000000000003,0.09000000000000341,-0.20856497355817982
2026-03-10 02:23:38,13.05,53.82,13.58,53.83,6.11999581705692,6.324764295798581,-0.5299999999999994,-0.00999999999999801,-0.20476847874166104
2026-03-10 02:24:38,13.04,53.84,13.6,53.75,6.118482750773163,6.323151290341586,-0.5600000000000005,0.09000000000000341,-0.20466853956842268
2026-03-10 02:25:46,13.05,53.8,13.57,53.81,6.117721571119701,6.318519875159975,-0.5199999999999996,-0.010000000000005116,-0.20079830404027366
2026-03-10 02:26:46,13.05,53.84,13.58,53.76,6.12227006299414,6.316539634815747,-0.5299999999999994,0.0800000000000054,-0.1942695718216072
2026-03-10 02:27:54,13.05,53.82,13.55,53.8,6.11999581705692,6.309564318117459,-0.5,0.020000000000003126,-0.18956850106053924
2026-03-10 02:28:54,13.02,53.82,13.6,53.78,6.1086442138964205,6.326680491061776,-0.5800000000000001,0.03999999999999915,-0.21803627716535523
2026-03-10 02:30:02,13.05,53.84,13.57,53.79,6.12227006299414,6.31617141952899,-0.5199999999999996,0.05000000000000426,-0.19390135653484997
2026-03-10 02:31:02,13.04,53.81,13.58,53.77,6.115073492182464,6.3177145863847235,-0.5400000000000009,0.03999999999999915,-0.20264109420225918
2026-03-10 02:32:11,13.01,53.83,13.57,53.81,6.105998731070404,6.318519875159975,-0.5600000000000005,0.01999999999999602,-0.21252114408957112
2026-03-10 02:33:10,13.04,53.82,13.6,53.74,6.116209911712697,6.321974890101522,-0.5600000000000005,0.0799999999999983,-0.20576497838882535
2026-03-10 02:34:18,13.05,53.81,13.6,53.77,6.1188586940883125,6.325504090821712,-0.5499999999999989,0.03999999999999915,-0.20664539673339988
2026-03-10 02:35:22,13.04,53.88,13.6,53.69,6.123028428894093,6.316092888901205,-0.5600000000000005,0.19000000000000483,-0.19306446000711208
2026-03-10 02:36:22,13.04,53.84,13.6,53.63,6.118482750773163,6.309034487460822,-0.5600000000000005,0.21000000000000085,-0.19055173668765946
2026-03-10 02:37:26,13.01,53.83,13.57,53.74,6.105998731070404,6.310300280451535,-0.5600000000000005,0.0899999999999963,-0.20430154938113088
2026-03-10 02:38:34,13.02,53.82,13.55,53.79,6.1086442138964205,6.308391536645691,-0.5300000000000011,0.030000000000001137,-0.19974732274927032
2026-03-10 02:39:34,13.02,53.84,13.6,53.69,6.110914241474978,6.316092888901205,-0.5800000000000001,0.15000000000000568,-0.20517864742622738
2026-03-10 02:40:42,13.04,53.86,13.57,53.8,6.120755589833628,6.3173456473444825,-0.5300000000000011,0.060000000000002274,-0.19659005751085434
2026-03-10 02:41:43,13.02,53.88,13.57,53.8,6.115454296632091,6.3173456473444825,-0.5500000000000007,0.0800000000000054,-0.2018913507123914
2026-03-10 02:42:46,13.04,53.83,13.58,53.84,6.1173463312429295,6.325939247367557,-0.5400000000000009,-0.010000000000005116,-0.20859291612462716
2026-03-10 02:43:50,13.01,53.85,13.55,53.85,6.1082673540431225,6.315428225476307,-0.5400000000000009,0.0,-0.2071608714331843
2026-03-10 02:44:55,13.04,53.85,13.54,53.91,6.119619170303395,6.318569428456165,-0.5,-0.05999999999999517,-0.19895025815277023
2026-03-10 02:45:58,13.02,53.85,13.55,53.89,6.112049255264256,6.32011935136338,-0.5300000000000011,-0.03999999999999915,-0.2080700960991244
2026-03-10 02:47:02,13.04,53.84,13.54,53.86,6.118482750773163,6.312709134050251,-0.5,-0.01999999999999602,-0.19422638327708786
2026-03-10 02:48:07,13.02,53.83,13.54,53.86,6.109779227685699,6.312709134050251,-0.5199999999999996,-0.030000000000001137,-0.20292990636455155
2026-03-10 02:49:10,13.02,53.85,13.5,53.85,6.112049255264256,6.295993319837241,-0.4800000000000004,0.0,-0.1839440645729855
